19-Jan,14.5,3/23/2021
12-Feb,16,3/31/2021
1106/20,3.4,3/24/2021
166/19,4.2,3/10/2021
218/21,4.4,4/1/2021
1106/20,4.6,3/30/2021
411/20,4.6,3/12/2021
749/18,4.7,3/17/2021
411/20,4.9,3/23/2021
455/12,4.9,3/19/2021
411/20,5.4,3/15/2021
884/20,5.4,3/2/2021
389/17,5.6,3/9/2021
427/18,5.6,4/1/2021
975/18,5.6,3/14/2021
1010/19,5.7,3/24/2021
147/21,5.7,3/18/2021
517/19,5.7,3/2/2021
844/16,5.7,3/16/2021
844/20,5.7,3/20/2021
150/14,5.8,3/17/2021
1202/04,5.9,3/1/2021
297/19,5.9,3/13/2021
593/18,5.9,3/2/2021
1028/19,6,3/15/2021
1061/19,6,3/10/2021
1132/19,6,3/17/2021
238/20,6,3/17/2021
30/21,6,3/13/2021
780/20,6,3/17/2021
20-Oct,6.1,3/1/2021
1008/15,6.1,3/1/2021
1099/17,6.1,3/4/2021
1101/18,6.1,3/17/2021
1124/13,6.1,4/2/2021
15/20,6.1,3/12/2021
36112/21,6.1,3/24/2021
464/12,6.1,3/22/2021
862/19,6.1,3/11/2021
135/21,6.2,3/17/2021
223/19,6.2,3/4/2021
401/19,6.2,3/4/2021
425/19,6.2,3/18/2021
265/00,6.3,3/30/2021
34/04,6.3,3/2/2021
430/19,6.3,3/6/2021
538/21,6.3,3/5/2021
681/20,6.3,3/3/2021
1020/18,6.4,3/15/2021
1118/19,6.4,3/14/2021
113/20,6.4,3/16/2021
14/21,6.4,3/3/2021
193/17,6.4,3/1/2021
300/8,6.4,3/9/2021
918/20,6.4,3/3/2021
1042/17,6.5,3/15/2021
1055/19,6.5,3/9/2021
1061/19,6.5,3/5/2021
219/07,6.5,3/18/2021
33/16,6.5,3/12/2021
398/20,6.5,3/1/2021
477/15,6.5,4/1/2021
1108/20,6.6,3/30/2021
170/21,6.6,3/15/2021
67/21,6.6,3/17/2021
681/20,6.6,3/11/2021
802/17,6.6,3/6/2021
974/20,6.6,3/3/2021
101/20,6.7,3/3/2021
1055/13,6.7,3/24/2021
1109/17,6.7,3/2/2021
202/07,6.7,3/8/2021
339/20,6.7,3/6/2021
459/11,6.7,3/3/2021
1055/19,6.8,3/30/2021
1093/20,6.8,3/9/2021
114/19,6.8,3/4/2021
1190/20,6.8,3/6/2021
199/12,6.8,3/18/2021
33/20,6.8,3/24/2021
373/17,6.8,3/1/2021
757/18,6.8,3/9/2021
975/18,6.8,3/24/2021
1055/13,6.9,3/24/2021
1057/18,6.9,3/23/2021
1093/20,6.9,3/9/2021
152/19,6.9,3/16/2021
18/18,6.9,3/18/2021
334/07,6.9,3/10/2021
535/19,6.9,3/2/2021
84/20,6.9,3/10/2021
887/14,6.9,3/17/2021
100/21,7,3/1/2021
110/16,7,3/3/2021
112/20,7,3/10/2021
124/20,7,3/10/2021
194/20,7,3/9/2021
250/20,7,3/13/2021
261/21,7,3/22/2021
33/20,7,3/24/2021
352/20,7,3/1/2021
369/11,7,3/4/2021
911/15,7,3/9/2021
959/18,7,3/3/2021
1054/19,7.1,3/8/2021
1124/13,7.1,3/9/2021
159/16,7.1,3/3/2021
293/20,7.1,3/9/2021
300/16,7.1,3/5/2021
374/15,7.1,3/19/2021
401/19,7.1,4/1/2021
423/14,7.1,3/7/2021
604/20,7.1,3/18/2021
757/18,7.1,3/3/2021
89/20,7.1,3/17/2021
1124/19,7.2,4/1/2021
123/14,7.2,3/5/2021
252/20,7.2,3/4/2021
405/19,7.2,3/31/2021
414/20,7.2,3/31/2021
463/18,7.2,3/3/2021
58/10,7.2,3/4/2021
675/15,7.2,3/1/2021
835/19,7.2,3/8/2021
1068/19,7.3,3/17/2021
1083/18,7.3,3/1/2021
1145/20,7.3,3/31/2021
142/21,7.3,3/24/2021
160/11,7.3,3/16/2021
19/20,7.3,3/27/2021
195/20,7.3,3/13/2021
405/19,7.3,3/3/2021
47/19,7.3,3/2/2021
665/19,7.3,4/2/2021
1072/06,7.4,3/9/2021
1134/19,7.4,3/16/2021
212/21,7.4,3/10/2021
222/19,7.4,3/25/2021
232/19,7.4,3/19/2021
183/21,7.5,3/24/2021
380/08,7.5,3/5/2021
387/20,7.5,3/6/2021
471/20,7.5,3/11/2021
20-Jun,7.6,3/4/2021
1044/20,7.6,3/18/2021
1059/20,7.6,3/15/2021
1099/17,7.6,3/18/2021
170/21,7.6,3/1/2021
222/19,7.6,3/4/2021
282/19,7.6,3/10/2021
3099/21,7.6,3/9/2021
788/20,7.6,3/2/2021
967/20,7.6,3/1/2021
1056/17,7.7,3/3/2021
1098/17,7.7,3/4/2021
1569/19,7.7,3/10/2021
177/14,7.7,3/4/2021
183/21,7.7,3/24/2021
213/21,7.7,3/10/2021
47/19,7.7,3/14/2021
582/18,7.7,3/16/2021
639/19,7.7,3/2/2021
719/07,7.7,3/8/2021
727/20,7.7,3/13/2021
1079/20,7.8,3/13/2021
108/21,7.8,3/4/2021
128/18,7.8,3/2/2021
177/14,7.8,4/1/2021
181/21,7.8,3/17/2021
219/21,7.8,3/15/2021
222/19,7.8,3/30/2021
296/19,7.8,3/2/2021
362/17,7.8,3/12/2021
457/20,7.8,3/6/2021
570/19,7.8,3/15/2021
68/19,7.8,3/17/2021
707/10,7.8,3/9/2021
873/19,7.8,3/6/2021
980/19,7.8,3/28/2021
1077/18,7.9,3/2/2021
177/21,7.9,3/2/2021
252/20,7.9,4/1/2021
299/06,7.9,3/27/2021
462/20,7.9,3/23/2021
50/18,7.9,3/19/2021
57/20,7.9,3/11/2021
974/17,7.9,3/29/2021
1010/20,8,3/2/2021
108/21,8,3/31/2021
1096/01,8,3/16/2021
1201/13,8,3/29/2021
167/21,8,3/12/2021
202/21,8,3/12/2021
238/18,8,3/12/2021
265/00,8,3/15/2021
423/14,8,3/7/2021
427/11,8,3/30/2021
477/15,8,3/2/2021
524/04,8,4/2/2021
639/20,8,3/16/2021
672/16,8,3/3/2021
822/19,8,3/10/2021
850/07,8,3/2/2021
984/20,8,3/6/2021
1124/19,8.1,3/4/2021
146/21,8.1,4/1/2021
195/21,8.1,3/18/2021
20/21,8.1,3/5/2021
262/19,8.1,3/22/2021
300/21,8.1,3/30/2021
303/20,8.1,3/18/2021
440/18,8.1,3/3/2021
736/20,8.1,3/8/2021
7889/21,8.1,3/10/2021
836/19,8.1,3/2/2021
116/21,8.2,3/30/2021
145/20,8.2,4/1/2021
154/21,8.2,3/23/2021
197/20,8.2,3/3/2021
207/19,8.2,3/9/2021
218/20,8.2,3/2/2021
226/00,8.2,4/1/2021
376/20,8.2,4/1/2021
462/20,8.2,3/8/2021
593/18,8.2,3/26/2021
596/17,8.2,3/25/2021
60/19,8.2,3/10/2021
61/20,8.2,3/1/2021
628/16,8.2,3/12/2021
766/14,8.2,3/1/2021
780/18,8.2,3/1/2021
7889/21,8.2,3/10/2021
791/20,8.2,3/3/2021
838/20,8.2,3/25/2021
865/19,8.2,3/15/2021
897/19,8.2,3/3/2021
990/17,8.2,3/2/2021
181/21,8.3,3/3/2021
250/21,8.3,3/17/2021
45/20,8.3,3/5/2021
553/15,8.3,3/9/2021
633/20,8.3,3/17/2021
83/21,8.3,3/31/2021
890/15,8.3,3/2/2021
1157/13,8.4,3/24/2021
129/19,8.4,3/3/2021
167/21,8.4,3/17/2021
183/21,8.4,3/16/2021
203/13,8.4,3/5/2021
292/20,8.4,3/16/2021
297/20,8.4,3/4/2021
334/07,8.4,3/10/2021
41/G/21,8.4,3/22/2021
430/10,8.4,3/8/2021
454/20,8.4,3/25/2021
525/20,8.4,3/3/2021
698/20,8.4,3/5/2021
715/20,8.4,4/2/2021
776/18,8.4,3/4/2021
7889/21,8.4,3/7/2021
80/21,8.4,3/24/2021
83/21,8.4,3/3/2021
854/19,8.4,3/3/2021
885/17,8.4,3/4/2021
958/18,8.4,3/14/2021
154/21,8.5,3/12/2021
156/19,8.5,3/5/2021
218/09,8.5,3/4/2021
223/19,8.5,3/12/2021
238/18,8.5,4/1/2021
262/19,8.5,3/30/2021
358/19,8.5,3/22/2021
40/00,8.5,3/15/2021
441/20,8.5,3/10/2021
60/15,8.5,3/19/2021
608/03,8.5,3/2/2021
757/12,8.5,3/3/2021
872/12,8.5,3/30/2021
885/17,8.5,4/1/2021
96/20,8.5,3/2/2021
979/19,8.5,3/12/2021
99/21,8.5,3/17/2021
993/18,8.5,3/5/2021
1043/19,8.6,3/10/2021
1049/09,8.6,3/5/2021
108/21,8.6,3/10/2021
1130/19,8.6,3/2/2021
203/13,8.6,3/1/2021
341/20,8.6,3/3/2021
362/15,8.6,3/4/2021
453/15,8.6,3/2/2021
502/14,8.6,3/1/2021
602/18,8.6,3/9/2021
73/21,8.6,3/29/2021
872/12,8.6,3/2/2021
959/18,8.6,3/11/2021
96/21,8.6,3/8/2021
21-May,8.7,3/12/2021
1062/20,8.7,3/16/2021
145/19,8.7,3/2/2021
182/21,8.7,3/31/2021
20/21,8.7,3/9/2021
209/21,8.7,3/29/2021
221/21,8.7,3/8/2021
225/21,8.7,3/16/2021
536/19,8.7,3/25/2021
776/14,8.7,3/5/2021
805/17,8.7,3/3/2021
942/20,8.7,3/8/2021
96/21,8.7,3/2/2021
965/19,8.7,3/4/2021
984/20,8.7,3/3/2021
1089/19,8.8,3/24/2021
1126/18,8.8,3/4/2021
238/18,8.8,4/1/2021
246/16,8.8,3/29/2021
251/21,8.8,3/31/2021
267/18,8.8,3/12/2021
277/21,8.8,3/23/2021
379/20,8.8,3/15/2021
399/12,8.8,3/9/2021
405/20,8.8,3/10/2021
430/10,8.8,3/2/2021
622/17,8.8,3/2/2021
74/17,8.8,3/5/2021
746/20,8.8,3/17/2021
850/18,8.8,3/22/2021
87/17,8.8,3/2/2021
885/18,8.8,3/24/2021
959/20,8.8,3/7/2021
21-Apr,8.9,3/16/2021
1037/20,8.9,3/19/2021
112/21,8.9,3/10/2021
116/18,8.9,3/2/2021
286/20,8.9,3/3/2021
2896/20,8.9,3/26/2021
73/21,8.9,3/4/2021
869/19,8.9,3/29/2021
967/20,8.9,3/15/2021
978/21,8.9,3/31/2021
100/20,9,3/2/2021
1066/19,9,3/15/2021
1097/19,9,3/16/2021
21-Dec,9,3/9/2021
137/20,9,3/31/2021
15/20,9,4/2/2021
159/14,9,4/1/2021
235/21,9,3/30/2021
239/05,9,4/1/2021
290/20,9,3/18/2021
358/19,9,3/30/2021
362/20,9,3/25/2021
404/15,9,3/10/2021
511/20,9,3/10/2021
545/19,9,3/25/2021
603/20,9,3/16/2021
809/16,9,3/3/2021
92/19,9,3/8/2021
936/20,9,3/23/2021
1079/10,9.1,3/6/2021
121/21,9.1,3/10/2021
145/20,9.1,3/12/2021
198/21,9.1,3/8/2021
237/20,9.1,3/10/2021
383/18,9.1,3/1/2021
401/20,9.1,3/17/2021
448/20,9.1,3/4/2021
448/20,9.1,3/8/2021
473/14,9.1,3/18/2021
566/08,9.1,3/7/2021
595/20,9.1,4/1/2021
706/15,9.1,3/13/2021
743/14,9.1,3/8/2021
746/20,9.1,3/14/2021
90/20,9.1,3/19/2021
912/20,9.1,3/4/2021
1057/20,9.2,3/29/2021
1107/19,9.2,3/24/2021
118/19,9.2,3/2/2021
157/21,9.2,3/1/2021
190/19,9.2,3/6/2021
20/18,9.2,3/17/2021
223/21,9.2,3/22/2021
367/12,9.2,3/4/2021
448/20,9.2,3/11/2021
596/21,9.2,3/1/2021
64/21,9.2,3/5/2021
708/20,9.2,3/5/2021
95/20,9.2,3/3/2021
965/19,9.2,3/21/2021
1032/20,9.3,3/8/2021
112/21,9.3,3/31/2021
127/19,9.3,3/14/2021
151/07,9.3,3/23/2021
158/21,9.3,3/17/2021
207/21,9.3,3/9/2021
23/11,9.3,3/23/2021
232/21,9.3,3/16/2021
269/14,9.3,3/24/2021
279/11,9.3,3/3/2021
283/21,9.3,3/25/2021
292/21,9.3,3/23/2021
394/20,9.3,3/8/2021
397/16,9.3,3/13/2021
401/20,9.3,3/9/2021
444/18,9.3,3/3/2021
445/15,9.3,3/4/2021
448/20,9.3,3/15/2021
505/11,9.3,3/4/2021
62/20,9.3,3/4/2021
651/19,9.3,3/10/2021
827/12,9.3,3/4/2021
831/16,9.3,3/21/2021
87/19,9.3,3/10/2021
891/18,9.3,3/3/2021
901/16,9.3,3/6/2021
907/20,9.3,3/3/2021
916/15,9.3,3/11/2021
93/17,9.3,3/24/2021
944/15,9.3,3/25/2021
981/20,9.3,3/24/2021
18-Apr,9.4,3/21/2021
1066/20,9.4,3/24/2021
1088/18,9.4,3/10/2021
1096/01,9.4,3/16/2021
1149/17,9.4,3/4/2021
1716/01,9.4,3/4/2021
217/16,9.4,3/21/2021
246/18,9.4,3/1/2021
392/08,9.4,4/1/2021
436/18,9.4,3/2/2021
485/14,9.4,3/15/2021
502/14,9.4,3/29/2021
584/16,9.4,3/4/2021
599/13,9.4,3/25/2021
607/12,9.4,3/3/2021
613/20,9.4,3/17/2021
665/19,9.4,3/5/2021
760/18,9.4,3/27/2021
766/14,9.4,4/1/2021
963/13,9.4,3/2/2021
1100/19,9.5,3/7/2021
114/19,9.5,3/11/2021
1253/07,9.5,3/24/2021
126/21,9.5,3/11/2021
20/21,9.5,3/4/2021
301/19,9.5,3/18/2021
32/19,9.5,3/12/2021
338/21,9.5,4/1/2021
40/20,9.5,3/4/2021
403/20,9.5,3/24/2021
415/15,9.5,3/12/2021
488/14,9.5,3/29/2021
522/20,9.5,3/2/2021
1017/16,9.6,3/22/2021
1085/09,9.6,3/4/2021
1113/17,9.6,3/4/2021
1483/3,9.6,3/25/2021
288/20,9.6,3/17/2021
325/20,9.6,3/17/2021
442/21,9.6,3/24/2021
448/20,9.6,3/19/2021
448/20,9.6,3/22/2021
455/18,9.6,3/17/2021
622/14,9.6,3/31/2021
128/16,9.7,3/1/2021
218/13,9.7,3/16/2021
415/20,9.7,3/15/2021
45/21,9.7,3/24/2021
453/15,9.7,3/30/2021
472/20,9.7,3/31/2021
608/18,9.7,3/14/2021
681/19,9.7,3/10/2021
976/09,9.7,3/25/2021
1029/20,9.8,3/22/2021
1055/02,9.8,3/9/2021
1069/10,9.8,3/31/2021
112/21,9.8,3/3/2021
118/21,9.8,3/10/2021
1253/07,9.8,3/24/2021
23/596,9.8,3/29/2021
280/19,9.8,3/13/2021
292/21,9.8,3/26/2021
299/19,9.8,3/2/2021
334/07,9.8,3/3/2021
398/10,9.8,4/1/2021
415/15,9.8,3/23/2021
420/19,9.8,4/2/2021
431/20,9.8,3/15/2021
510/19,9.8,3/31/2021
622/14,9.8,3/8/2021
647/20,9.8,3/17/2021
675/20,9.8,3/31/2021
7889/21,9.8,3/17/2021
792/20,9.8,3/31/2021
804/19,9.8,4/2/2021
907/20,9.8,3/31/2021
98/20,9.8,3/1/2021
986/15,9.8,3/3/2021
1006/20,9.9,3/11/2021
104/03,9.9,3/18/2021
1057/19,9.9,3/2/2021
1085/09,9.9,4/1/2021
128/16,9.9,3/5/2021
1334/04,9.9,3/1/2021
170/20,9.9,3/9/2021
2020/591,9.9,3/10/2021
260/21,9.9,3/16/2021
285/18,9.9,3/12/2021
340/20,9.9,3/31/2021
357/20,9.9,3/24/2021
392/08,9.9,3/4/2021
392/08,9.9,3/4/2021
4790/21,9.9,3/23/2021
59/18,9.9,3/5/2021
792/20,9.9,3/3/2021
820/16,9.9,3/17/2021
825/19,9.9,3/5/2021
919/20,9.9,3/9/2021
930/20,9.9,3/30/2021
945/19,9.9,3/5/2021
1041/16,10,3/10/2021
110/18,10,3/3/2021
112/19,10,3/7/2021
128/16,10,3/8/2021
130/21,10,3/19/2021
1989/18,10,3/15/2021
227/18,10,3/4/2021
232/21,10,3/9/2021
242/21,10,3/17/2021
258/21,10,4/1/2021
34/21,10,3/8/2021
405/10,10,3/4/2021
448/20,10,3/26/2021
51/19,10,3/11/2021
52/21,10,3/1/2021
582/16,10,3/3/2021
598/17,10,3/4/2021
604/20,10,3/15/2021
663/19,10,3/12/2021
713/19,10,3/24/2021
724/17,10,3/10/2021
1103/20,10.1,3/3/2021
1206/09,10.1,3/28/2021
165/21,10.1,3/11/2021
203/21,10.1,3/17/2021
231/20,10.1,3/25/2021
277/18,10.1,3/2/2021
305/16,10.1,3/21/2021
421/19,10.1,3/3/2021
526/16,10.1,3/9/2021
534/04,10.1,3/5/2021
584/16,10.1,4/1/2021
667/19,10.1,3/11/2021
681/18,10.1,3/3/2021
707/19,10.1,3/10/2021
763/16,10.1,3/2/2021
781/19,10.1,3/9/2021
844/20,10.1,3/30/2021
946/19,10.1,3/16/2021
98/20,10.1,3/5/2021
1051/12,10.2,3/2/2021
1061/18,10.2,3/28/2021
180/21,10.2,3/3/2021
191/21,10.2,4/1/2021
228/20,10.2,3/10/2021
264/05,10.2,3/16/2021
290/21,10.2,4/1/2021
30/20/IC,10.2,3/19/2021
316/12,10.2,3/23/2021
333/18,10.2,3/25/2021
343/20,10.2,3/4/2021
578/15,10.2,3/23/2021
608/15,10.2,3/2/2021
658/19,10.2,3/11/2021
709/19,10.2,3/12/2021
715/20,10.2,3/1/2021
72/21,10.2,3/19/2021
861/20,10.2,3/3/2021
921/18,10.2,3/4/2021
93/17,10.2,3/3/2021
936/16,10.2,3/3/2021
1021/15,10.3,3/10/2021
104/17,10.3,3/24/2021
1061/14,10.3,3/28/2021
1089/20,10.3,3/16/2021
1139/20,10.3,3/21/2021
1226/13,10.3,3/3/2021
1338/18,10.3,3/15/2021
190/05,10.3,3/23/2021
193/14,10.3,3/17/2021
211/21,10.3,3/10/2021
221/21,10.3,3/15/2021
251/21,10.3,3/15/2021
277/21,10.3,3/30/2021
327/17,10.3,3/10/2021
350/19,10.3,3/4/2021
399/03,10.3,3/11/2021
415/17,10.3,3/4/2021
439/18,10.3,3/31/2021
448/20,10.3,4/1/2021
488/15,10.3,3/16/2021
513/20,10.3,3/2/2021
523/17,10.3,3/4/2021
581/20,10.3,3/13/2021
653/07,10.3,3/21/2021
687/18,10.3,3/11/2021
768/18,10.3,3/25/2021
788/20,10.3,3/3/2021
79/18,10.3,3/4/2021
921/18,10.3,4/1/2021
957/14,10.3,3/11/2021
98/20,10.3,3/8/2021
985/20,10.3,3/25/2021
1106/19,10.4,3/18/2021
1115/19,10.4,3/4/2021
127/21,10.4,4/2/2021
1283/07,10.4,3/13/2021
1472/02,10.4,3/29/2021
168/19,10.4,3/4/2021
